Division,Team,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff,ST Win%,RS Win%,Diff

,Phillies,0.452,0.389,-0.063,0.577,0.438,-0.139,0.452,0.407,-0.045,0.433,0.494,+0.061,0.500,0.500,+0.000,0.714,0.467,-0.247,0.444,0.506,+0.062,0.588,0.537,-0.051,0.516,0.556,+0.040,0.375,0.586,+0.211,0.536,TBD,TBD

NL Central
,Brewers,0.448,0.420,-0.028,0.500,0.451,-0.049,0.515,0.531,+0.016,0.613,0.589,-0.024,0.576,0.549,-0.027,0.611,0.483,-0.128,0.577,0.586,+0.009,0.438,0.531,+0.093,0.444,0.568,+0.124,0.516,0.574,+0.058,0.533,TBD,TBD
,Cardinals,0.542,0.617,+0.075,0.458,0.531,+0.073,0.714,0.512,-0.202,0.567,0.543,-0.024,0.444,0.562,+0.118,0.550,0.517,-0.033,0.444,0.556,+0.112,0.643,0.574,-0.069,0.708,0.438,-0.270,0.520,0.512,-0.008,0.444,TBD,TBD
,Cubs,0.469,0.599,+0.130,0.367,0.640,+0.273,0.419,0.568,+0.149,0.576,0.583,+0.007,0.594,0.519,-0.075,0.391,0.567,+0.176,0.625,0.438,-0.187,0.611,0.457,-0.154,0.586,0.512,-0.074,0.516,0.512,-0.004,0.571,TBD,TBD
,Pirates,0.536,0.605,+0.069,0.276,0.484,+0.208,0.613,0.463,-0.150,0.367,0.509,+0.142,0.500,0.426,-0.074,0.143,0.317,+0.174,0.481,0.377,-0.104,0.500,0.383,-0.117,0.333,0.469,+0.136,0.448,0.469,+0.021,0.483,TBD,TBD
,Reds,0.517,0.395,-0.122,0.500,0.420,-0.080,0.457,0.420,-0.037,0.345,0.414,+0.069,0.296,0.463,+0.167,0.529,0.517,-0.012,0.269,0.512,+0.243,0.588,0.383,-0.205,0.517,0.506,-0.011,0.423,0.475,+0.052,0.414,TBD,TBD

NL West
,D-backs,0.576,0.488,-0.088,0.750,0.426,-0.324,0.500,0.574,+0.074,0.500,0.506,+0.006,0.400,0.525,+0.125,0.353,0.417,+0.064,0.375,0.321,-0.054,0.524,0.457,-0.067,0.533,0.519,-0.014,0.500,0.549,+0.049,0.548,TBD,TBD
,Dodgers,0.593,0.568,-0.025,0.433,0.562,+0.129,0.514,0.642,+0.128,0.531,0.564,+0.033,0.483,0.654,+0.171,0.650,0.717,+0.067,0.542,0.654,+0.112,0.357,0.685,+0.328,0.519,0.617,+0.098,0.667,0.605,-0.062,0.609,TBD,TBD
,Giants,0.382,0.519,+0.137,0.394,0.537,+0.143,0.543,0.395,-0.148,0.484,0.451,-0.033,0.448,0.475,+0.027,0.550,0.483,-0.067,0.478,0.660,+0.182,0.533,0.500,-0.033,0.483,0.488,+0.005,0.556,0.494,-0.062,0.778,TBD,TBD
,Padres,0.586,0.457,-0.129,0.323,0.420,+0.097,0.344,0.438,+0.094,0.600,0.407,-0.193,0.621,0.432,-0.189,0.600,0.617,+0.017,0.480,0.488,+0.008,0.438,0.549,+0.111,0.517,0.506,-0.011,0.450,0.574,+0.124,0.414,TBD,TBD
,Rockies,0.500,0.420,-0.080,0.536,0.463,-0.073,0.516,0.537,+0.021,0.414,0.558,+0.144,0.483,0.438,-0.045,0.588,0.433,-0.155,0.500,0.460,-0.040,0.471,0.420,-0.051,0.406,0.364,-0.042,0.586,0.377,-0.209,0.531,TBD,TBD
